Name,Gender,Date,College,Tier,ClassID,OverallScore,Helpfulness,Lod,Clarity,Quality,TakeAgain,TeacherGrade,Tag,Polarity,Subjectivity,CommentNumber,Comment
Tim Flaherty,M,11/12/11,Carnegie Mellon University,2,MATH120,4,4,3,4,good,N/A,N/A,[],0.2,0.49,77,"Summer of 09, thought he was hilarious. One day he came in was like &quot;so I woke up at 4 am last night, couldn't go back to sleep, and remembered how to do the proof I wanted to show you guys yesterday, so I got out of bed and wrote it out. so here it is.&quot; The man loves his math. Upside: entertaining. Only downside:  spends too much time on proofs."
Tim Flaherty,M,8/6/11,Carnegie Mellon University,2,MATH259,5,5,4,5,awesome,N/A,N/A,[],0.5,1,77,This man loves his math :)
Tim Flaherty,M,4/19/11,Carnegie Mellon University,2,MATHA,5,5,1,5,awesome,N/A,N/A,[],0.48,0.71,77,Oh and his corny jokes make me crack up each time. Easily the best math professor I've ever had. The final is optional!
Tim Flaherty,M,4/19/11,Carnegie Mellon University,2,MATHA,5,5,1,5,awesome,N/A,N/A,[],-0.12,0.61,77,I don't know what everyone is complaining about. I'm not aware of 21-259 but this guy's 21-256 class is TOO easy. The proofs are not difficult to understand and he provides plenty of examples. Sometimes people ask really stupid questions about how he does certain things which leads me to think they are too slow. Recitation is useless for me.
Tim Flaherty,M,3/14/11,Carnegie Mellon University,2,MATHCALC,5,5,1,5,awesome,N/A,N/A,[],0,0,77,"Flaherty, King of Calculus"
Tim Flaherty,M,1/23/11,Carnegie Mellon University,2,MAT259,3.5,3,2,4,good,N/A,N/A,[],0.1,0.74,77,"Entertaining in a quirky way. Course material was rather difficult conceptually, but tests were mostly a matter of knowing which formula to apply and not messing up. Seems very fair. Recitations were boring re-teachings of lecture, but useful if you didn't understand lecture."
Tim Flaherty,M,12/17/10,Carnegie Mellon University,2,CALC259,3.5,4,5,3,good,N/A,N/A,[],0.03,0.57,77,"Pretty funny guy, makes calculus fun (or as fun as it can be) with jokes and his general quirkiness. Using the TAs and textbooks will really help; tests aren't too bad as long as you study and know the material. He doesn't grade too hard, our final was curved."
Tim Flaherty,M,11/18/10,Carnegie Mellon University,2,CALC259,4.5,4,4,5,awesome,N/A,N/A,[],0.24,0.67,77,"Funny guy, nerdy in all the right ways. Lectures were good and he takes time to comprehensively answer questions. Tests were hard as hell though. The man loves his proofs, but tells you in advance so you can skip if you're disinterested in the formal junk."
Tim Flaherty,M,10/23/10,Carnegie Mellon University,2,CALC1,3.5,4,5,3,good,N/A,N/A,[],0.09,0.58,77,"Had him over the summer for pre-college. I went in with a really sucky AP calc AB background and came out being freaken awesome at calc. Honestly, he's hard. His tests are hard, and if you fall behind, you're screwed. But he does teach, so if if you can keep up, you should be golden."
Tim Flaherty,M,8/18/10,Carnegie Mellon University,2,MAT256,4.5,5,2,4,awesome,N/A,N/A,[],0.08,0.53,77,"Nerdy but funny and seems to care about students. Does waste time on useless proofs and doesn't explain then. Overall, he is very fair and will not put anything on the test that he didn't go over in class and was on the h/w. Final is optional."
Tim Flaherty,M,4/21/10,Carnegie Mellon University,2,CALC256,2.5,3,3,2,average,N/A,N/A,[],-0.07,0.71,77,Weird guy. Wastes a lot of time on meaningless proofs and writes too quickly in general. Tests are not too difficult and the final is optional. The way the class is weighted it is almost impossible to get below a C and an easy B if you do good on HW and quizzes. Much better option than the other 256 teacher.
Tim Flaherty,M,4/20/10,Carnegie Mellon University,2,MATH259,4.5,4,4,5,awesome,N/A,N/A,[],0.25,0.47,77,"Good Professor, usually keeps class interesting.  A little to many proofs."
Tim Flaherty,M,11/29/09,Carnegie Mellon University,2,CALC259,3.5,2,5,5,good,N/A,N/A,[],-0.05,0.2,77,"Flaherty is into the proofs but not into showing what they do or how they can help you on an exam. The TAs have to sometimes &quot;reteach&quot; the material because he sometimes fills the board with useless proofs with no examples. It's a doable course however, just don't rely on lectures to help you much. Bring your clicker!!!"
Tim Flaherty,M,11/7/09,Carnegie Mellon University,2,MATH259,5,5,3,5,awesome,N/A,N/A,[],0.46,0.54,77,"By far one of the BEST professors I had this semester. He'll chase students, wake them up in front of the whole class....it was overall awesome."
Tim Flaherty,M,9/30/09,Carnegie Mellon University,2,MATH259,5,5,1,5,awesome,N/A,N/A,[],0.54,0.71,77,"Great professor. Genuinely loves what he does, writes *really* fast when pressed for time. Also, he chases students who leave class, lol. =)"
Tim Flaherty,M,4/29/09,Carnegie Mellon University,2,MATH126,2,1,5,3,poor,N/A,N/A,[],0,0,77,z
Tim Flaherty,M,1/11/09,Carnegie Mellon University,2,CALC259,4,4,3,4,good,N/A,N/A,[],0.32,0.6,77,"He's a great professor and is really enthusiastic about the course.  It's useful to stay for lectures because of the quizzes (easy 3 pts) and you get to learn a lot too.  Once he chased someone who left the lecture right after the quiz, so I guess he's pretty funny.  His exams get progressively harder but he curved the final so it was all good."
Tim Flaherty,M,12/20/08,Carnegie Mellon University,2,MATH259,4.5,4,3,5,awesome,N/A,N/A,[],0.39,0.58,77,"Nerdy, funny personality. Genuinely enjoys teaching. Hates when people skip or don't pay attention. He ran out of the room to chase a guy who tried to skip out after taking attendance. Good at explaining things, but he does proofs faster than you can think about them. Sometimes, he will expect you to know really obscure integration rules."
Tim Flaherty,M,12/3/08,Carnegie Mellon University,2,CALC259,4,4,2,4,good,N/A,N/A,[],0.54,0.6,77,"Good Teacher, lots of proof, just be respectful and don't fall asleep in class. Do the homework and come to class and you'll do fine. -Calc in 3D"
Tim Flaherty,M,12/3/08,Carnegie Mellon University,2,MATH259,3,3,2,3,average,N/A,N/A,[],0.25,0.53,77,Interesting hand gestures and general movement. Writes really really fast. No joke.
Tim Flaherty,M,11/13/08,Carnegie Mellon University,2,CAL259,4,5,1,3,good,N/A,N/A,[],0.5,0.5,77,Too many proofs in class. I feel as if I am learning Analysis class...
Tim Flaherty,M,10/12/08,Carnegie Mellon University,2,CALC259,5,5,2,5,awesome,N/A,N/A,[],0.38,0.8,77,"Really funny guy, love the class."
Tim Flaherty,M,7/6/07,Carnegie Mellon University,2,CALC122,5,5,3,5,awesome,N/A,N/A,[],0.21,0.68,77,He is an AMAZING teacher! I had such a hard time in Calc I but with him Calc II was so easy. He is totally open to you coming in for help and he is a really personable guy and loves helping and teaching. One of my favorite prof. by far
Tim Flaherty,M,6/25/06,Carnegie Mellon University,2,21122,2,2,4,2,poor,N/A,N/A,[],0.2,0.53,77,"He looks like the dad from Honey I Shrunk the Kids! OK teacher, a few too many proofs for me.  Had generous curves at the end, but only after the drop deadline...sneaky."
Tim Flaherty,M,4/4/06,Carnegie Mellon University,2,CALC,3.5,2,3,5,good,N/A,N/A,[],0.17,0.67,77,"He's a decent teacher, but as a person, HE SCARES ME."
Tim Flaherty,M,3/8/06,Carnegie Mellon University,2,CALC122,1,1,5,1,awful,N/A,N/A,[],0,0,77,No Comments
Tim Flaherty,M,4/20/05,Carnegie Mellon University,2,CALC,1,1,5,1,awful,N/A,N/A,[],-0.31,0.88,77,"worst teacher i have ever had, excited about math, but not about teaching"
Tim Flaherty,M,1/17/05,Carnegie Mellon University,2,CALC3D,1,1,4,1,awful,N/A,N/A,[],-1,1,77,LIED to the class and had horrible make up exam policies.
Tim Flaherty,M,12/19/04,Carnegie Mellon University,2,FRACTALS,5,5,4,5,awesome,N/A,N/A,[],0.34,0.6,77,"Great teacher, however class is exceptionally hard.  I did more work for these 3 units (mini course) than i have all year in my calc class."
Tim Flaherty,M,12/13/04,Carnegie Mellon University,2,21123,3,3,4,3,average,N/A,N/A,[],-0.67,1,77,this guy is hard...i dont know why he makes his exam retakes impossible since your maximum grade on the retakes are capped.
Tim Flaherty,M,8/24/04,Carnegie Mellon University,2,MTH256,1,1,5,1,awful,N/A,N/A,[],-0.29,0.54,77,Hw looks like Bill Gates. He is hard. Dont take the class.
Tim Flaherty,M,5/9/04,Carnegie Mellon University,2,CALC3D,1,1,5,1,awful,N/A,N/A,[],-0.33,0.65,77,"gives replacement exams that could hurt your grade. condecending during office hours. if the class average on a test is hoovering around 50%, you know something is wrong"
Tim Flaherty,M,3/31/04,Carnegie Mellon University,2,CALCULUS,2.5,2,3,3,average,N/A,N/A,[],0.1,0.52,77,he's ok but hard exams
Tim Flaherty,M,2/9/04,Carnegie Mellon University,2,256,4,4,5,4,good,N/A,N/A,[],-0.29,0.54,77,assesments are HARD
Tim Flaherty,M,10/27/03,Carnegie Mellon University,2,DIFFEQ,4.5,4,5,5,awesome,N/A,N/A,[],-0.33,1,77,His final was impossible
Tim Flaherty,M,4/8/03,Carnegie Mellon University,2,CALC3D,5,5,3,5,awesome,N/A,N/A,[],0,0,77,No Comments
Tim Flaherty,M,12/10/02,Carnegie Mellon University,2,21101,4.5,5,3,4,awesome,N/A,N/A,[],0,0,77,No Comments
Tim Flaherty,M,9/23/02,Carnegie Mellon University,2,21118,2,2,5,2,poor,N/A,N/A,[],0,0,77,No Comments
Tim Flaherty,M,4/10/02,Carnegie Mellon University,2,21100,4,3,5,5,good,N/A,N/A,[],0.3,0.1,77,"""gah-huhhh"" (tim laugh)"
Gregory Johnson,M,3/24/19,Carnegie Mellon University,2,MATH259,5,5,2,5,awesome,Yes,A,"['Clear grading criteria', 'Respected', 'Amazing lectures']",0.32,0.57,45,He must be an angel. His class has the most logical and clear lecture notes for you to use. He responds to piazza question in a very fast speed. Whenever possible hes able to answer your question clearly. Hes absolutely one of the best math professors in CMU.
Gregory Johnson,M,10/8/18,Carnegie Mellon University,2,21122F,4,4,5,4,good,No,N/A,"[""Skip class? You won't pass."", 'Lots of homework']",0,0,45,dont skip class plz
Gregory Johnson,M,8/30/18,Carnegie Mellon University,2,MAT127,5,5,4,5,awesome,Yes,A,"['Lots of homework', ""Skip class? You won't pass."", 'Respected']",-0.1,0.43,45,"Difficult class, but he really pushes you to actually understand and apply the concepts. Provides lecture notes online as well"
Gregory Johnson,M,5/27/18,Carnegie Mellon University,2,21127S,5,5,4,5,awesome,Yes,A,"['Lots of homework', 'Respected', 'Amazing lectures']",0.1,0.4,45,His lectures and notes are very student-oriented. Learned a lot and would definitely take his classes again.
Gregory Johnson,M,2/28/18,Carnegie Mellon University,2,21127A,5,5,4,5,awesome,Yes,N/A,"['Caring', 'Amazing lectures', 'Accessible outside class']",0.27,0.59,45,Greggo is a fantastic professor who gives clear and informative lectures and is very accessible during office hours. Hes also just a great guy in general. The class maybe tough but he sets clear expectations and does more than enough practice in class to give you a general understanding of what he is looking for. The best professor Ive had so far
Gregory Johnson,M,1/8/18,Carnegie Mellon University,2,21122F,5,5,3,5,awesome,Yes,A,"['Lecture heavy', 'Test heavy', ""Skip class? You won't pass.""]",-0.03,0.41,45,"Greggo focuses a lot on lectures. In his lectures, he goes over lots of examples that are very helpful for homework and exam questions. His exam problems are similar to lecture materials, and they shouldn't be too hard if you've gone to lecture and done the homework."
Gregory Johnson,M,12/25/17,Carnegie Mellon University,2,CALC122,4,4,4,4,good,Yes,N/A,['Amazing lectures'],0.23,0.44,45,"His tests are very straightforward and his lectures are generally very solid. Overall a pretty good professor and as long as you put in the work, you should do well in the class."
Gregory Johnson,M,12/12/17,Carnegie Mellon University,2,21122F,5,5,2,5,awesome,Yes,A,"['EXTRA CREDIT', 'Amazing lectures', 'Test heavy']",0.33,0.48,45,"Greg is a great lecture and goes over everything that will be on his test; there will be no surprises. The class goes by rather fast, but if you show up to lecture, go over notes, and go to office hours if you need that extra help, the class is manageable."
Gregory Johnson,M,12/1/17,Carnegie Mellon University,2,21122F,4,4,4,4,good,Yes,N/A,['Graded by few things'],0.09,0.62,45,"Greggo's lectures are pretty good and go by quickly. He writes a ton of material on the board, and the examples used in class are normally very helpful. Some material is dependent on learning in recitation, which depends on the quality of your TA (mine was awful so I had to do some self teaching). 3 exams, 6 questions each, not much partial credit."
Gregory Johnson,M,5/9/17,Carnegie Mellon University,2,MATH127,5,5,4,5,awesome,Yes,Not sure yet,"[""Skip class? You won't pass."", 'Amazing lectures', 'Accessible outside class']",0.21,0.71,45,"Very willing to help students learn the material, if you don't understand something, it is your job to go to his office hours, where he can help you grasp topics for the homework. Class notes are informative and concise, but he writes his notes very quickly, so you must pay attention for the entire lecture."
Gregory Johnson,M,4/27/17,Carnegie Mellon University,2,MATH127,5,5,5,5,awesome,Yes,N/A,"[""Skip class? You won't pass."", 'Test heavy', 'Lots of homework']",0.7,0.6,45,Good office hours
Gregory Johnson,M,2/16/17,Carnegie Mellon University,2,MATH127,5,5,4,5,awesome,Yes,N/A,"[""Skip class? You won't pass."", 'Respected', 'Amazing lectures']",0.08,0.25,45,Hard but worth. His lecture notes are unbeatable. He's very thorough and never fails to leave anything unexplained.
Gregory Johnson,M,1/19/17,Carnegie Mellon University,2,CALC122,4,4,4,4,good,Yes,B+,"['Accessible outside class', 'Lecture heavy', ""Skip class? You won't pass.""]",0.1,0.8,45,"Tough but fair. He responds almost instantly on Piazza and through email, though, so make use of that."
Gregory Johnson,M,11/10/16,Carnegie Mellon University,2,CALC122,2,2,5,2,poor,No,B,"['Test heavy', ""Skip class? You won't pass."", 'Tough grader']",-0.15,0.68,45,"Greggo isn't a bad lecturer, but he tends to make things more complicated than it is. I took Calc 2 in high school, but the calc 2 taught by Greggo was still tough for me even though I learned most of the concepts before. Some of the newer concepts taught that I didn't know before were just confusing. Quizzes are also unnecessarily difficult."
Gregory Johnson,M,5/18/16,Carnegie Mellon University,2,21259A,1,1,5,1,awful,N/A,N/A,"['Tough grader', ""Skip class? You won't pass.""]",-0.5,0.6,45,I worked hard for this class and got nothing at all. He's condescending and bad at explaining tricky concepts. He also seems to think he's still 16 with those clothes and that piercing. Are you not a math professor at a top-ranking university?
Gregory Johnson,M,5/1/16,Carnegie Mellon University,2,21127I,5,5,3,5,awesome,Yes,A,"['Caring', 'Gives good feedback']",0.46,0.51,45,"One of the best professors I've had here. He is extremely clear in everything. If you go to him, he gives great feedback, but you usually won't need to because there's opportunity for that in recitation and HW is returned with detailed comments of what to improve on. Also, he is genuinely good at communicating concepts, unlike some professors."
Gregory Johnson,M,12/26/15,Carnegie Mellon University,2,MATH259,4.5,4,4,5,awesome,N/A,A,[],0.26,0.61,45,"Great professor! I took Calc1 and Calc2 in highschool, so I thought it would be easy to transition to Calc3 at CMU. I was wrong and Greggo really made me work hard. I bombed my first test but got a lot better at calculus as the course progressed. He is a very clear professor, and he challenges you on the tests. I ended up loving the class though."
Gregory Johnson,M,12/25/15,Carnegie Mellon University,2,CALC3D,5,5,4,5,awesome,N/A,A,"['Lots of homework', 'EXTRA CREDIT', 'Gives good feedback']",0.34,0.67,45,Great professor. Gives clear lectures. Attend them and you'll be on track. Tests are slightly tough but most definitely fair.
Gregory Johnson,M,12/23/15,Carnegie Mellon University,2,CALC259,5,5,3,5,awesome,Yes,A,"['EXTRA CREDIT', 'Lots of homework']",0.22,0.56,45,"Greggo is an excellent professor who thoroughly explains everything. Calculus in 3D is a fast-paced course so the material might feel rushed, but Greggo really takes the time to write extensive exam reviews to prepare his students. Exams can be tough, but definitely doable if you prepare. Go to office hours and he'll like you even more."
Gregory Johnson,M,12/17/15,Carnegie Mellon University,2,MATH259,4,3,5,5,good,N/A,N/A,"['Lots of homework', 'Tough grader', 'Clear grading criteria']",0,0.62,45,"Greggo is a hard teacher and he teaches his class tougher than most 21259 teachers do.  You will learn if you put your head to it, but he is not easy."
Gregory Johnson,M,5/24/15,Carnegie Mellon University,2,21127,4,4,3,4,good,N/A,A,"['So many papers', 'Lots of homework', 'Inspirational']",0.21,0.58,45,"Lectures are clear, and recitation worksheets are a great supplement to lectures. Homework assignments are most of the time long, but not very hard. Listens to feedback. Three midterms and a final. Gives extra credit on every midterm. The first two were easy, but the third was unexpectedly hard(class avg was 45, and 60+ was an A). Final was easy. "
Gregory Johnson,M,4/4/15,Carnegie Mellon University,2,21259,4.5,4,1,5,awesome,N/A,A,"['Gives good feedback', 'Clear grading criteria', 'Hilarious']",0.22,0.51,45,"Took calc-3d with Greggo in Fall 2014. Very clear lectures. Listens to student feedback. After the first midterm some students said the homework was a little too much, and he reduced the amount by around  40%. Gives extra-credit problems on every midterm. Exams are not hard and reflects the materials taught. Definitely take his 259. Awesome prof."
Gregory Johnson,M,12/8/14,Carnegie Mellon University,2,21257,3.5,4,4,3,good,N/A,N/A,"['Lecture heavy', 'Tough grader', 'Lots of homework']",0.8,0.7,45,lol read the textbook or something cuz lectures are just a bunch of paragraphs
Gregory Johnson,M,12/7/14,Carnegie Mellon University,2,21259,3.5,4,4,3,good,N/A,B,"['Clear grading criteria', ""Skip class? You won't pass."", 'Lots of homework']",-0.08,0.35,45,"Greggo is one of the few human beings I've seen who can write as fast as he speaks. Multivariable calculus with him made for painful note taking, so don't even try to copy what he writes in time, listen to him instead. He's very theory based, and often leaves you teaching yourself how to actually solve problems, but the concepts will be understood."
